orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
64,,Hygromiidae,Mengoana jeschaui,Mengoana,jeschaui,,"(Kobelt, 1878)",30/07/2015,2015,empty shell,,,,,43.399888,-4.761092,50,Between La Pareda and Soberron,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
65,,Trissexodontidae,Oestophora cf. silvae,Oestophora,cf. silvae,,,30/07/2015,2015,empty shell,2,2,0,exact,43.399888,-4.761092,50,Between La Pareda and Soberron,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"only two old, subadult shells"
66,,Elonidae,Elona quimperiana,Elona,quimperiana,,"(Blainville, 1821)",30/07/2015,2015,empty shell,,,,,43.399888,-4.761092,50,Between La Pareda and Soberron,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
67,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",30/07/2015,2015,empty shell,,,,,43.399888,-4.761092,50,Between La Pareda and Soberron,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
68,,Hydrobiidae,Alzoniella spec.,Alzoniella,,,,30/07/2015,2015,empty shell,1,0,1,exact,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"based on shell dimensions, figures and maps shown in Arconada et al. (2007) perhaps A. cantabrica (Boeters, 1983) or A. pellitica Arconada, Rolán & Boeters, 2007"
69,,Neritidae,Theodoxus fluviatilis,Theodoxus,fluviatilis,,"(Linnaeus, 1758)",30/07/2015,2015,empty shell,10,1,9,exact,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
70,,Tateidae,Potamopyrgus antipodarum,Potamopyrgus,antipodarum,,"(Gray, 1843)",30/07/2015,2015,empty shell,1,0,1,exact,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,f. carinata
71,,Planorbidae,Ancylus fluviatilis,Ancylus,fluviatilis,,"O. F. Müller, 1774",30/07/2015,2015,empty shell,30,,,estimate,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
72,,Helicidae,Theba pisana,Theba,pisana,,"(O. F. Müller, 1774)",09/09/2019,2019,alive,10,,,estimate,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
73,,Helicidae,Theba pisana,Theba,pisana,,"(O. F. Müller, 1774)",10/09/2019,2019,alive,2,0,2,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,1,Ward Langeraert,Ward Langeraert,
74,,Helicidae,Cepaea nemoralis,Cepaea,nemoralis,,"(Linnaeus, 1758)",09/09/2019,2019,empty shell,1,0,1,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
75,,Pomatiidae,Pomatias elegans,Pomatias,elegans,,"(O. F. Müller, 1774)",09/09/2019,2019,alive,5,,,estimate,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
76,,Helicidae,Cornu aspersum,Cornu,aspersum,,"(O. F. Müller, 1774)",09/09/2019,2019,empty shell,1,0,1,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
77,,Hygromiidae,Hygromia limbata,Hygromia,limbata,,"(Draparnaud, 1805)",09/09/2019,2019,empty shell,12,2,10,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,1,Ward Langeraert,Ward Langeraert,
78,,Arionidae,Arion rufus/vulgaris,Arion,rufus/vulgaris,,"(Linnaeus, 1758)/Moquin-Tandon, 1855",09/09/2019,2019,alive,2,0,2,exact,43.14308365,-4.8128192,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large black Arion
79,,Arionidae,Arion spec. 1,Arion,,,,10/09/2019,2019,alive,1,0,1,exact,43.1429628,-4.81798822,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large blue-grey Arion
80,,Hygromiidae,Mengoana jeschaui,Mengoana,jeschaui,,"(Kobelt, 1878)",10/09/2019,2019,onbekend,1,0,1,exact,43.14199066,-4.812840462,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
81,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",10/09/2019,2019,onbekend,1,0,1,exact,43.14312363,-4.812231064,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
82,,Gastrodontidae,Aegopinella nitidula,Aegopinella,nitidula,,"(Draparnaud, 1805)",10/09/2019,2019,onbekend,1,0,1,exact,43.14432144,-4.809671879,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
83,,Agriolimacidae,Deroceras spec.,Deroceras,,,,10/09/2019,2019,alive,1,,,exact,43.1429628,-4.81798822,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,"small, white slug"
84,,Tateidae,Potamopyrgus antipodarum,Potamopyrgus,antipodarum,,"(Gray, 1843)",11/09/2019,2019,onbekend,1,0,1,exact,43.14380264,-4.809669971,25,Fuente Dé (Fuente Deva),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
85,,Clausiliidae,Clausilia bidentata,Clausilia,bidentata,,"(Strøm, 1765)",11/09/2019,2019,alive,1,0,1,exact,43.14093018,-4.81176281,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
86,,Hygromiidae,Mengoana jeschaui,Mengoana,jeschaui,,"(Kobelt, 1878)",11/09/2019,2019,empty shell,1,0,1,exact,43.13784027,-4.815938473,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
87,,Megalomastomatidae,Obscurella asturica/hidalgoi,Obscurella,asturica/hidalgoi,,"(Raven, 1990)/(Crosse, 1864)",11/09/2019,2019,alive,2,0,2,exact,43.13784027,-4.815947056,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,shells much more variable in this locality; lighter shell colour and sharp ribs
88,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",11/09/2019,2019,alive,1,0,1,exact,43.13539505,-4.815793514,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
89,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",11/09/2019,2019,empty shell,1,0,1,exact,43.13381958,-4.816576481,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,2,Ward Langeraert,Ward Langeraert,
90,,Geomitridae,Helicella valdeona,Helicella,valdeona,,"E. Gittenberger & Manga, 1977",11/09/2019,2019,empty shell,5,1,4,exact,43.1335144,-4.817094803,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,2,Ward Langeraert,Ward Langeraert,
91,,Clausiliidae,Clausilia bidentata,Clausilia,bidentata,,"(Strøm, 1765)",11/09/2019,2019,empty shell,1,0,1,exact,43.13354111,-4.81724453,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
92,,Megalomastomatidae,Obscurella asturica/hidalgoi,Obscurella,asturica/hidalgoi,,"(Raven, 1990)/(Crosse, 1864)",11/09/2019,2019,empty shell,1,0,1,exact,43.13354111,-4.817251205,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,2,Ward Langeraert,Ward Langeraert,shells much more variable in this locality; lighter shell colour and sharp ribs
93,,Arionidae,Arion rufus/vulgaris,Arion,rufus/vulgaris,,"(Linnaeus, 1758)/Moquin-Tandon, 1856",11/09/2019,2019,alive,1,0,1,exact,43.13353333,-4.816563889,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large black Arion
94,,Valloniidae,Vallonia pulchella,Vallonia,pulchella,,"(O. F. Müller, 1774)",11/09/2019,2019,empty shell,1,0,1,exact,43.13351059,-4.817623138,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,2,Ward Langeraert,Ward Langeraert,
95,,Pupillidae,Pupilla bigranata,Pupilla,bigranata,,"(Rossmässler, 1839)",11/09/2019,2019,empty shell,2,0,2,exact,43.13350296,-4.81756592,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,2,Ward Langeraert,Ward Langeraert,
96,,Truncatellinidae,Truncatellina callicratis,Truncatellina,callicratis,,"(Scacchi, 1833)",11/09/2019,2019,empty shell,1,0,1,exact,43.13350296,-4.81756592,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,2,Ward Langeraert,Ward Langeraert,var. without teeth
97,,Pristilomatidae,Vitrea contracta,Vitrea,contracta,,"(Westerlund, 1871)",11/09/2019,2019,empty shell,1,0,1,exact,43.13351059,-4.81762314,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,2,Ward Langeraert,Ward Langeraert,
98,,Megalomastomatidae,Obscurella asturica/hidalgoi,Obscurella,asturica/hidalgoi,,"(Raven, 1990)/(Crosse, 1864)",11/09/2019,2019,empty shell,11,0,11,exact,43.13386154,-4.8247118,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,3,Ward Langeraert,Ward Langeraert,shells much more variable in this locality; lighter shell colour and sharp ribs
99,,Geomitridae,Helicella valdeona,Helicella,valdeona,,"E. Gittenberger & Manga, 1978",11/09/2019,2019,empty shell,9,2,7,exact,43.13359833,-4.825773716,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,3,Ward Langeraert,Ward Langeraert,
100,,Hygromiidae,Mengoana jeschaui,Mengoana,jeschaui,,"(Kobelt, 1878)",11/09/2019,2019,empty shell,4,1,3,exact,43.13467407,-4.829267502,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,3,Ward Langeraert,Ward Langeraert,
101,,Enidae,Merdigera obscura,Merdigera,obscura,,"(O. F. Müller, 1774)",11/09/2019,2019,empty shell,1,0,1,exact,43.13476181,-4.829024315,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,3,Ward Langeraert,Ward Langeraert,
102,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",11/09/2019,2019,empty shell,2,0,2,exact,43.13554382,-4.828614712,25,Southwest of Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,3,Ward Langeraert,Ward Langeraert,
103,,Chondrinidae,Abida vasconica,Abida,vasconica,,"(Kobelt, 1882)",12/09/2019,2019,empty shell,4,0,4,exact,43.15394592,-4.805939674,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,
104,,Hygromiidae,Pyrenaearia schaufussi,Pyrenaearia,schaufussi,,"(Kobelt, 1876)",12/09/2019,2019,alive,1,0,1,exact,43.15433121,-4.805763721,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Han Raven,"see Alonso et al., 2019"
105,,Pupillidae,Pupilla bigranata,Pupilla,bigranata,,"(Rossmässler, 1839)",12/09/2019,2019,empty shell,2,0,2,exact,43.15464783,-4.805327892,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,
106,,Pristilomatidae,Vitrea subrimata,Vitrea,subrimata,,"(Reinhardt, 1871)",12/09/2019,2019,empty shell,5,2,3,exact,43.15466309,-4.805305004,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,"closed umbilicus, determination based on Cadevall and Orozco (2016)"
107,,Pristilomatidae,Vitrea spec.,Vitrea,,,,12/09/2019,2019,empty shell,1,0,1,exact,43.15466309,-4.805305004,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,"open umbilicus, but seems to big for V. contracta (more like V. crystallina??)"
108,,Lauriidae,Lauria cylindracea,Lauria,cylindracea,,"(Da Costa, 1778)",12/09/2019,2019,empty shell,1,0,1,exact,43.15464401,-4.805310249,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,
109,,Vitrinidae,Vitrina pellucida,Vitrina,pellucida,,"(O. F. Müller, 1774)",12/09/2019,2019,alive,1,0,1,exact,43.15491104,-4.80550194,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
110,,Geomitridae,Helicella valdeona,Helicella,valdeona,,"E. Gittenberger & Manga, 1979",12/09/2019,2019,empty shell,5,4,1,exact,43.15491104,-4.805501938,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,
111,,Megalomastomatidae,Obscurella asturica,Obscurella,asturica,,"(Raven, 1990)",12/09/2019,2019,empty shell,39,19,20,exact,43.155056,-4.805783272,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,dark shells with sharp ribs and deeper suture
112,,Hygromiidae,Pyrenaearia schaufussi,Pyrenaearia,schaufussi,,"(Kobelt, 1876)",12/09/2019,2019,empty shell,6,1,5,exact,43.155056,-4.805783272,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Han Raven,"see Alonso et al., 2019"
113,,Geomitridae,Plentuisa vendia,Plentuisa,vendia,,"Puente & Prieto, 1992",12/09/2019,2019,empty shell,16,8,8,exact,43.155056,-4.805783272,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,
114,,Punctidae,Paralaoma servile,Paralaoma,servile,,"(Shuttleworth, 1852)",12/09/2019,2019,empty shell,7,5,2,exact,43.155056,-4.805783272,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,
115,,Pyramidulidae,Pyramidula pusilla/umbilicata,Pyramidula,pusilla/umbilicata,,"(Vallot, 1801)/(Montagu, 1803)",12/09/2019,2019,empty shell,7,5,2,exact,43.155056,-4.805783272,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,4,Ward Langeraert,Ward Langeraert,"shells don't seem te be at optimal size;  shells flat, but umbilicus not extremely large"
116,,Arionidae,Arion spec. 1,Arion,,,,12/09/2019,2019,empty shell,1,0,1,exact,43.15525833,-4.805908333,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large blue-grey Arion
117,,Megalomastomatidae,Obscurella asturica,Obscurella,asturica,,"(Raven, 1990)",12/09/2019,2019,empty shell,9,0,9,exact,43.15817642,-4.808563709,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,5,Ward Langeraert,Ward Langeraert,dark shells with sharp ribs and deeper suture
118,,Pristilomatidae,Vitrea subrimata,Vitrea,subrimata,,"(Reinhardt, 1871)",12/09/2019,2019,empty shell,3,0,3,exact,43.15817642,-4.808563709,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,5,Ward Langeraert,Ward Langeraert,"closed umbilicus, determination based on Cadevall and Orozco (2016)"
119,,Punctidae,Paralaoma servile,Paralaoma,servile,,"(Shuttleworth, 1852)",12/09/2019,2019,empty shell,1,0,1,exact,43.15817642,-4.808563709,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,5,Ward Langeraert,Ward Langeraert,
120,,Geomitridae,Helicella valdeona,Helicella,valdeona,,"E. Gittenberger & Manga, 1980",12/09/2019,2019,empty shell,1,0,1,exact,43.15817642,-4.808563709,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,5,Ward Langeraert,Ward Langeraert,
121,,Arionidae,Arion spec. 1,Arion,,,,12/09/2019,2019,empty shell,1,0,1,exact,43.15815,-4.808619444,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large blue-grey Arion
122,,Chondrinidae,Chondrina cliedentata,Chondrina,cliedentata,,"E. Gittenberger, 1973",12/09/2019,2019,alive,1,0,1,exact,43.16064072,-4.805725098,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,5,Ward Langeraert,Ward Langeraert,
123,,Vitrinidae,Oligolimax annularis,Oligolimax,annularis,,"(S. Studer, 1820)",12/09/2019,2019,empty shell,1,0,1,exact,43.16200256,-4.797455311,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,5,Ward Langeraert,Ward Langeraert,
124,,Geomitridae,Helicella valdeona,Helicella,valdeona,,"E. Gittenberger & Manga, 1981",12/09/2019,2019,alive,1,0,1,exact,43.16203889,-4.79698611,25,Picos de Europa (El Portal de Picos - Fuente Dé),Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
125,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",13/09/2019,2019,empty shell,2,0,2,exact,43.12888336,-4.806675434,25,Between Fuente Dé and Pido,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,6,Ward Langeraert,Ward Langeraert,
126,,Geomitridae,Helicella valdeona,Helicella,valdeona,,"E. Gittenberger & Manga, 1982",13/09/2019,2019,empty shell,4,1,3,exact,43.12888336,-4.806675434,25,Between Fuente Dé and Pido,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,6,Ward Langeraert,Ward Langeraert,
127,,Enidae,Merdigera obscura,Merdigera,obscura,,"(O. F. Müller, 1774)",13/09/2019,2019,empty shell,1,0,1,exact,43.12869644,-4.806987762,25,Between Fuente Dé and Pido,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,6,Ward Langeraert,Ward Langeraert,
